,City,Cloudiness(%),Country,Date,Humidity(%),Lat,Lng,Max Temp(°F),Wind Speed(mph)
0,Padang,32,ID,1538282796,100,-0.92,100.36,79.46,5.41
1,Sandnessjoen,92,NO,1538281200,87,66.02,12.63,46.4,13.87
2,Port Alfred,0,ZA,1538282799,83,-33.59,26.89,65.78,20.51
3,Quelimane,40,MZ,1538280000,78,-17.88,36.89,78.8,10.29
4,Esperance,20,TT,1538280000,88,10.24,-61.45,78.8,6.53
5,Prince Rupert,1,CA,1538280000,34,54.32,-130.32,53.6,5.82
6,Punta Arenas,75,CL,1538280000,64,-53.16,-70.91,35.6,14.99
7,Kruisfontein,0,ZA,1538282805,79,-34.0,24.73,62.0,13.47
8,Gao,68,ML,1538282807,57,16.28,-0.04,78.38,4.85
9,Saint-Francois,0,FR,1538281800,100,46.42,3.91,42.8,1.12
10,Thompson,75,CA,1538280000,79,55.74,-97.86,28.4,8.05
11,Albany,1,US,1538279640,82,42.65,-73.75,50.0,2.17
12,Gdynia,0,PL,1538281800,80,54.52,18.54,41.0,6.93
13,Nome,90,US,1538280900,89,30.04,-94.42,75.92,5.82
14,Busselton,0,AU,1538282815,88,-33.64,115.35,65.78,23.76
15,Hobart,40,AU,1538280000,34,-42.88,147.33,66.2,12.75
16,Atuona,88,PF,1538282817,100,-9.8,-139.03,79.46,9.44
17,Richards Bay,32,ZA,1538282818,88,-28.77,32.06,65.24,5.41
18,Yumen,0,CN,1538282820,31,40.29,97.04,63.08,8.99
19,Tianjin,75,CN,1538280000,22,39.12,117.2,68.0,22.37
20,Ostrov,92,RU,1538280000,75,57.34,28.36,44.6,13.42
21,Quthing,0,LS,1538282824,52,-30.4,27.7,53.99,3.96
22,Lebu,0,ET,1538280000,58,8.96,38.73,59.0,6.93
23,Hilo,20,US,1538279760,84,19.71,-155.08,80.06,8.05
24,Isiolo,0,KE,1538282828,71,0.35,37.58,71.99,5.41
25,Cape Town,0,ZA,1538280000,87,-33.93,18.42,48.2,6.93
26,Mataura,64,NZ,1538282830,81,-46.19,168.86,54.98,4.85
27,Bredasdorp,8,ZA,1538280000,93,-34.53,20.04,50.0,5.82
28,Baft,0,IR,1538282833,17,29.23,56.61,68.93,2.73
29,Rikitea,92,PF,1538282834,100,-23.12,-134.97,72.98,11.79
30,Saint-Joseph,0,FR,1538281800,71,43.56,6.97,66.2,4.7
31,Hermosillo,40,MX,1538279280,70,29.09,-110.96,84.2,3.36
32,Cidreira,36,BR,1538282838,77,-30.17,-50.22,71.72,11.01
33,San Cristobal,75,EC,1538280000,81,-0.39,-78.55,53.6,11.41
34,Lompoc,1,US,1538282100,71,34.64,-120.46,62.06,5.41
35,Shamkhal,0,RU,1538280000,82,43.06,47.33,60.8,4.47
36,Mnogovershinnyy,76,RU,1538282843,57,53.94,139.92,45.98,5.08
37,Saint George,75,GR,1538281200,87,39.45,22.34,59.0,14.99
38,Tsiroanomandidy,0,MG,1538282846,87,-18.77,46.05,69.47,4.29
39,Labuhan,36,ID,1538282847,79,-2.54,115.51,84.41,3.4
40,Puerto Ayora,68,EC,1538282849,100,-0.74,-90.35,69.65,8.77
41,Nova Olinda do Norte,20,BR,1538282850,80,-3.89,-59.1,80.18,3.18
42,Carutapera,92,BR,1538282851,85,-1.2,-46.02,79.37,11.01
43,Dikson,80,RU,1538282853,93,73.51,80.55,39.77,12.46
44,Birao,0,CF,1538282854,77,10.3,22.78,78.2,4.41
45,Carnarvon,0,ZA,1538282855,10,-30.97,22.13,60.11,12.57
46,Avarua,75,CK,1538280000,64,-21.21,-159.78,71.6,6.93
47,Vulcan,88,CA,1538282858,69,50.4,-113.26,30.68,6.76
48,Mto wa Mbu,68,TZ,1538282859,96,-3.38,35.86,63.89,5.41
49,Bluff,36,AU,1538282860,34,-23.58,149.07,85.76,8.43
50,Luderitz,0,NA,1538282872,78,-26.65,15.16,59.48,12.01
51,Jumla,0,NP,1538282873,81,29.28,82.18,51.83,0.94
52,Reconquista,64,AR,1538282874,97,-29.14,-59.64,68.39,4.52
53,Kongolo,20,CD,1538282876,82,-5.39,27.0,75.68,2.95
54,Tasiilaq,44,GL,1538279400,55,65.61,-37.64,33.8,3.36
55,Airai,0,TL,1538282878,35,-8.93,125.41,86.12,3.06
56,Cabo San Lucas,40,MX,1538278860,83,22.89,-109.91,78.8,3.18
57,Zemio,12,CF,1538282881,98,5.02,25.13,74.69,3.74
58,Jalu,0,LY,1538282882,37,29.03,21.55,69.29,3.18
59,Portland,90,US,1538279760,86,45.52,-122.67,60.08,5.82
60,Kavieng,12,PG,1538282885,100,-2.57,150.8,86.12,3.74
61,Jamestown,8,AU,1538282588,25,-33.21,138.6,66.23,13.69
62,Barrow,20,AR,1538282794,84,-38.31,-60.23,45.98,6.2
63,Hermanus,8,ZA,1538282889,53,-34.42,19.24,54.26,2.73
64,Matay,56,EG,1538282890,60,28.42,30.79,78.92,9.1
65,Tuatapere,32,NZ,1538282891,93,-46.13,167.69,52.28,8.99
66,Port Elizabeth,1,US,1538279760,93,39.31,-74.98,62.96,4.85
67,Paamiut,92,GL,1538282894,100,61.99,-49.67,38.96,44.56
68,Saint-Philippe,90,CA,1538282100,89,45.36,-73.48,53.6,3.36
69,Zalesovo,0,RU,1538282897,49,54.0,84.74,60.83,9.78
70,Torbay,90,CA,1538282280,100,47.66,-52.73,59.0,11.41
71,Yellowknife,75,CA,1538280000,92,62.45,-114.38,30.2,5.82
72,Norman Wells,20,CA,1538280000,80,65.28,-126.83,30.2,3.36
73,Havelock,1,US,1538279880,71,34.88,-76.9,73.94,3.36
74,East London,0,ZA,1538280000,72,-33.02,27.91,59.0,13.87
75,Chuy,92,UY,1538282905,96,-33.69,-53.46,65.78,4.63
76,Hoquiam,90,US,1538279580,92,46.98,-123.89,62.06,4.7
77,Jatai,0,IN,1538282907,59,28.97,76.18,90.71,5.97
78,Vaini,32,IN,1538282909,93,15.34,74.49,81.53,2.62
79,Erzin,75,TR,1538281200,83,36.95,36.2,75.2,3.36
80,Panaba,0,MX,1538282911,93,21.28,-88.27,74.87,2.84
81,Qaanaaq,44,GL,1538282913,100,77.48,-69.36,16.46,7.99
